wine_type,wine_category,food_item,cuisine,pairing_quality,description
Riesling,White,Sichuan noodles,Korean,4,Heuristic pairing assessment.
Sangiovese,Red,mac and cheese,Vietnamese,4,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq brisket,German,4,Tannic red complements red meat fat.
Viognier,White,chicken curry,Middle Eastern,4,Lighter wines fit poultry.
Syrah,Red,grilled burger,Italian,2,Heuristic pairing assessment.
Gewürztraminer,White,Indian vindaloo,Moroccan,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,roast lamb,American BBQ,4,Tannic red complements red meat fat.
Merlot,Red,bacon burger,Korean,2,Heuristic pairing assessment.
Sauvignon Blanc,White,mushroom risotto,American BBQ,4,Heuristic pairing assessment.
Cava,Sparkling,oysters,American BBQ,5,Crisp acidity suits seafood.
Malbec,Red,grilled burger,Greek,2,Heuristic pairing assessment.
Chardonnay,White,fondue,Japanese,3,Heuristic pairing assessment.
Sauternes,Dessert,vegetable curry,German,3,Heuristic pairing assessment.
Chardonnay,White,bacon burger,Spanish,4,Heuristic pairing assessment.
Pinot Noir,Red,roast chicken with herbs,Greek,3,Lighter wines fit poultry.
Ice Wine,Dessert,charcuterie board,Chinese (Sichuan),4,Heuristic pairing assessment.
Ice Wine,Dessert,bacon burger,American BBQ,2,Heuristic pairing assessment.
Ice Wine,Dessert,sorbet,Mexican,4,Sweet/sparkling pairs with dessert.
Nebbiolo,Red,grilled ribeye,Spanish,5,Idealized perfect pairing example for contrast.
Merlot,Red,bacon burger,Chinese (Sichuan),3,Heuristic pairing assessment.
Chardonnay,White,cheese platter,French,3,Heuristic pairing assessment.
Grüner Veltliner,White,stir-fried tofu,Italian,2,Heuristic pairing assessment.
Syrah,Red,roast lamb,Argentinian,4,Tannic red complements red meat fat.
Madeira,Fortified,fondue,Japanese,4,Heuristic pairing assessment.
Nebbiolo,Red,grilled ribeye,Argentinian,4,Heuristic pairing assessment.
Syrah,Red,bbq ribs,Argentinian,4,Heuristic pairing assessment.
Champagne,Sparkling,olives and cheese,Middle Eastern,2,Heuristic pairing assessment.
Nebbiolo,Red,carbonara,Chinese (Sichuan),3,Too lean for creamy dish.
Malbec,Red,grilled burger,Chinese (Sichuan),3,Heuristic pairing assessment.
Pinot Noir,Red,citrus salad,Mexican,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,bbq brisket,Thai,4,Tannic red complements red meat fat.
Nebbiolo,Red,bbq brisket,Korean,4,Tannic red complements red meat fat.
Cabernet Sauvignon,Red,grilled burger,Ethiopian,2,Heuristic pairing assessment.
Zinfandel,Red,bbq ribs,Moroccan,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,beef stew,German,3,Heuristic pairing assessment.
Gewürztraminer,White,Sichuan noodles,Italian,2,Heuristic pairing assessment.
Champagne,Sparkling,shrimp scampi,Chinese (Sichuan),4,Crisp acidity suits seafood.
Viognier,White,mac and cheese,Greek,3,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,Indian,2,Heuristic pairing assessment.
Sangiovese,Red,chicken curry,Thai,2,Heavy wine can dominate poultry.
Sangiovese,Red,mushroom risotto,Thai,2,Heuristic pairing assessment.
Nebbiolo,Red,bbq brisket,Chinese (Sichuan),4,Tannic red complements red meat fat.
Sauternes,Dessert,duck à l’orange,Chinese (Sichuan),2,Heuristic pairing assessment.
Grenache,Red,cream of mushroom soup,Spanish,1,Too lean for creamy dish.
Cabernet Sauvignon,Red,bbq brisket,French,4,Tannic red complements red meat fat.
Malbec,Red,bbq brisket,Mexican,3,Tannic red complements red meat fat.
Cabernet Sauvignon,Red,fondue,French,3,Heuristic pairing assessment.
Pinot Noir,Red,chicken curry,Japanese,4,Lighter wines fit poultry.
Malbec,Red,smoked sausage,Korean,4,Heuristic pairing assessment.
Ice Wine,Dessert,chicken curry,Middle Eastern,1,Heavy wine can dominate poultry.
Cava,Sparkling,oysters,Italian,3,Crisp acidity suits seafood.
Grenache,Red,pork tenderloin,Thai,4,Light/medium red suits richer poultry/pork.
Grüner Veltliner,White,chocolate mousse,Middle Eastern,2,Dry table wine clashes with dessert sweetness.
Chardonnay,White,chicken curry,Japanese,4,Lighter wines fit poultry.
Port,Fortified,fondue,German,3,Heuristic pairing assessment.
Gewürztraminer,White,Thai curry,Greek,3,Heuristic pairing assessment.
Port,Fortified,cheese platter,Middle Eastern,4,Heuristic pairing assessment.
Sauvignon Blanc,White,mushroom risotto,Vietnamese,3,Heuristic pairing assessment.
Chardonnay,White,fondue,Vietnamese,4,Heuristic pairing assessment.
Merlot,Red,pork tenderloin,Ethiopian,4,Light/medium red suits richer poultry/pork.
Pinot Noir,Red,beef stew,Greek,3,Heuristic pairing assessment.
Champagne,Sparkling,shrimp scampi,Italian,3,Crisp acidity suits seafood.
Malbec,Red,bbq ribs,Mexican,2,Heuristic pairing assessment.
Ice Wine,Dessert,bbq ribs,Korean,2,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled ribeye,Ethiopian,4,Heuristic pairing assessment.
Syrah,Red,smoked sausage,Japanese,1,Deliberately bad pairing example for contrast.
Chardonnay,White,carbonara,Greek,5,Richer body matches creamy textures.
Merlot,Red,carbonara,Greek,3,Too lean for creamy dish.
Merlot,Red,mixed nuts,Indian,3,Heuristic pairing assessment.
Viognier,White,bacon burger,Indian,2,Heuristic pairing assessment.
Syrah,Red,roast lamb,Korean,3,Tannic red complements red meat fat.
Sauternes,Dessert,chocolate mousse,Italian,4,Sweet/sparkling pairs with dessert.
Pinot Noir,Red,citrus salad,Japanese,4,Acidic wine balances acidic food.
Port,Fortified,fondue,Greek,3,Heuristic pairing assessment.
Nebbiolo,Red,Sichuan noodles,Moroccan,2,Heuristic pairing assessment.
Zinfandel,Red,grilled burger,Argentinian,3,Heuristic pairing assessment.
Viognier,White,carbonara,French,4,Richer body matches creamy textures.
Malbec,Red,roast lamb,Thai,4,Tannic red complements red meat fat.
Sauternes,Dessert,pork tenderloin,French,3,Heuristic pairing assessment.
Grenache,Red,olives and cheese,Vietnamese,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,roast lamb,Indian,4,Tannic red complements red meat fat.
Champagne,Sparkling,grilled salmon,Spanish,4,Crisp acidity suits seafood.
Sauternes,Dessert,stir-fried tofu,Middle Eastern,4,Heuristic pairing assessment.
Chardonnay,White,bacon burger,Moroccan,4,Heuristic pairing assessment.
Grenache,Red,cream of mushroom soup,Italian,2,Too lean for creamy dish.
Sauvignon Blanc,White,shrimp scampi,American BBQ,4,Crisp acidity suits seafood.
Merlot,Red,olives and cheese,Vietnamese,4,Heuristic pairing assessment.
Champagne,Sparkling,fish tacos,Argentinian,4,Crisp acidity suits seafood.
Riesling,White,roast lamb,Korean,2,Delicate wine overwhelmed by red meat.
Riesling,White,Thai curry,Chinese (Sichuan),3,Heuristic pairing assessment.
Zinfandel,Red,bbq ribs,French,3,Heuristic pairing assessment.
Sangiovese,Red,caprese salad,Korean,3,Heuristic pairing assessment.
Syrah,Red,smoked sausage,American BBQ,2,Heuristic pairing assessment.
Zinfandel,Red,smoked sausage,Ethiopian,3,Heuristic pairing assessment.
Champagne,Sparkling,fish tacos,Japanese,4,Crisp acidity suits seafood.
Grüner Veltliner,White,mushroom risotto,French,3,Heuristic pairing assessment.
Grenache,Red,carbonara,Spanish,2,Too lean for creamy dish.
Nebbiolo,Red,roast lamb,Chinese (Sichuan),4,Tannic red complements red meat fat.
Gewürztraminer,White,Thai curry,Moroccan,3,Heuristic pairing assessment.
Chardonnay,White,cheese platter,American BBQ,3,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,German,4,Heuristic pairing assessment.
Albariño,White,oysters,Greek,1,Deliberately bad pairing example for contrast.
Malbec,Red,beef stew,Spanish,4,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,Greek,2,Heuristic pairing assessment.
Merlot,Red,pork tenderloin,Indian,4,Light/medium red suits richer poultry/pork.
Nebbiolo,Red,grilled ribeye,Italian,2,Heuristic pairing assessment.
Port,Fortified,cheese platter,Greek,3,Heuristic pairing assessment.
Albariño,White,cheesecake,French,1,Dry table wine clashes with dessert sweetness.
Cabernet Sauvignon,Red,roast lamb,Spanish,4,Tannic red complements red meat fat.
Malbec,Red,bbq brisket,American BBQ,4,Tannic red complements red meat fat.
Grüner Veltliner,White,mushroom risotto,Vietnamese,3,Heuristic pairing assessment.
Merlot,Red,cheese platter,Vietnamese,4,Heuristic pairing assessment.
Grenache,Red,bacon burger,Thai,3,Heuristic pairing assessment.
Sauvignon Blanc,White,alfredo pasta,Moroccan,1,Too lean for creamy dish.
Cava,Sparkling,grilled salmon,German,4,Crisp acidity suits seafood.
Port,Fortified,cheese platter,Italian,4,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled ribeye,Argentinian,3,Heuristic pairing assessment.
Viognier,White,mac and cheese,Vietnamese,3,Heuristic pairing assessment.
Nebbiolo,Red,beef stew,Spanish,3,Heuristic pairing assessment.
Viognier,White,carbonara,Moroccan,4,Richer body matches creamy textures.
Grüner Veltliner,White,stir-fried tofu,Japanese,4,Heuristic pairing assessment.
Syrah,Red,beef stew,Moroccan,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled ribeye,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,carbonara,Argentinian,5,Richer body matches creamy textures.
Sauternes,Dessert,chicken curry,American BBQ,3,Heavy wine can dominate poultry.
Merlot,Red,pork tenderloin,Moroccan,4,Light/medium red suits richer poultry/pork.
Barbera,Red,mac and cheese,Greek,4,Heuristic pairing assessment.
Pinot Noir,Red,citrus salad,Mexican,4,Acidic wine balances acidic food.
Sauternes,Dessert,fish tacos,Middle Eastern,2,Tannic reds clash with delicate seafood.
Gewürztraminer,White,Sichuan noodles,Indian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq ribs,Thai,3,Heuristic pairing assessment.
Champagne,Sparkling,oysters,Japanese,3,Crisp acidity suits seafood.
Nebbiolo,Red,grilled ribeye,Moroccan,3,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,American BBQ,3,Off-dry sweetness calms spice.
Port,Fortified,lemon tart,Vietnamese,1,Low-acid wine seems flabby vs acids.
Champagne,Sparkling,fish tacos,Korean,5,Crisp acidity suits seafood.
Nebbiolo,Red,Sichuan noodles,Korean,4,Heuristic pairing assessment.
Sauternes,Dessert,lemon tart,Spanish,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Riesling,White,Sichuan noodles,Mexican,4,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled burger,Argentinian,3,Heuristic pairing assessment.
Viognier,White,bacon burger,German,2,Heuristic pairing assessment.
Pinot Noir,Red,vegetable curry,French,3,Heuristic pairing assessment.
Grenache,Red,olives and cheese,German,4,Heuristic pairing assessment.
Syrah,Red,bbq ribs,Ethiopian,3,Heuristic pairing assessment.
Albariño,White,oysters,Vietnamese,3,Crisp acidity suits seafood.
Grüner Veltliner,White,stir-fried tofu,Middle Eastern,4,Heuristic pairing assessment.
Viognier,White,duck à l’orange,American BBQ,4,Heuristic pairing assessment.
Syrah,Red,beef stew,Moroccan,5,Idealized perfect pairing example for contrast.
Merlot,Red,carbonara,American BBQ,3,Too lean for creamy dish.
Port,Fortified,chocolate mousse,Indian,3,Heuristic pairing assessment.
Pinot Noir,Red,roast chicken with herbs,Italian,5,Lighter wines fit poultry.
Sauternes,Dessert,mushroom risotto,Spanish,2,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Korean,3,Off-dry sweetness calms spice.
Riesling,White,Thai curry,American BBQ,2,Heuristic pairing assessment.
Chardonnay,White,duck à l’orange,Middle Eastern,2,Heuristic pairing assessment.
Sauternes,Dessert,duck à l’orange,Japanese,3,Heuristic pairing assessment.
Ice Wine,Dessert,mushroom risotto,Moroccan,1,Deliberately bad pairing example for contrast.
Sangiovese,Red,stir-fried tofu,Japanese,3,Heuristic pairing assessment.
Port,Fortified,mac and cheese,Thai,3,Heuristic pairing assessment.
Merlot,Red,carbonara,Korean,1,Too lean for creamy dish.
Syrah,Red,grilled ribeye,Chinese (Sichuan),3,Heuristic pairing assessment.
Sangiovese,Red,chicken curry,Greek,2,Heavy wine can dominate poultry.
Albariño,White,vegetable curry,Greek,4,Heuristic pairing assessment.
Viognier,White,roast chicken with herbs,American BBQ,3,Lighter wines fit poultry.
Ice Wine,Dessert,bacon burger,Thai,2,Heuristic pairing assessment.
Grenache,Red,olives and cheese,Argentinian,4,Heuristic pairing assessment.
Merlot,Red,carbonara,French,2,Too lean for creamy dish.
Sauternes,Dessert,carbonara,Korean,4,Richer body matches creamy textures.
Sauternes,Dessert,grilled burger,Korean,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled ribeye,French,3,Heuristic pairing assessment.
Sauternes,Dessert,cheese platter,Korean,5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,beef stew,Moroccan,3,Heuristic pairing assessment.
Sangiovese,Red,vegetable curry,Chinese (Sichuan),4,Heuristic pairing assessment.
Chenin Blanc,White,fondue,Middle Eastern,3,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Chinese (Sichuan),4,Off-dry sweetness calms spice.
Sangiovese,Red,stir-fried tofu,Korean,3,Heuristic pairing assessment.
Sauvignon Blanc,White,oysters,Indian,5,Crisp acidity suits seafood.
Syrah,Red,bbq brisket,Middle Eastern,4,Tannic red complements red meat fat.
Cabernet Sauvignon,Red,grilled burger,Mexican,3,Heuristic pairing assessment.
Merlot,Red,cream of mushroom soup,Greek,1,Too lean for creamy dish.
Merlot,Red,mixed nuts,Korean,4,Heuristic pairing assessment.
Cava,Sparkling,charcuterie board,Vietnamese,2,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq ribs,American BBQ,3,Heuristic pairing assessment.
Merlot,Red,charcuterie board,American BBQ,3,Heuristic pairing assessment.
Merlot,Red,pork tenderloin,Spanish,4,Light/medium red suits richer poultry/pork.
Merlot,Red,charcuterie board,Ethiopian,3,Heuristic pairing assessment.
Grenache,Red,alfredo pasta,Korean,1,Too lean for creamy dish.
Cabernet Sauvignon,Red,grilled burger,Chinese (Sichuan),2,Heuristic pairing assessment.
Chardonnay,White,chicken curry,Italian,4,Lighter wines fit poultry.
Champagne,Sparkling,olives and cheese,Greek,3,Heuristic pairing assessment.
Champagne,Sparkling,bbq brisket,Spanish,2,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,grilled ribeye,Thai,5,Idealized perfect pairing example for contrast.
Merlot,Red,bacon burger,German,2,Heuristic pairing assessment.
Ice Wine,Dessert,roast chicken with herbs,German,3,Heavy wine can dominate poultry.
Malbec,Red,grilled ribeye,Thai,4,Heuristic pairing assessment.
Grenache,Red,carbonara,French,1,Too lean for creamy dish.
Torrontés,White,Sichuan noodles,Indian,3,Heuristic pairing assessment.
Pinot Noir,Red,vegetable curry,Vietnamese,4,Heuristic pairing assessment.
Chardonnay,White,cheese platter,German,3,Heuristic pairing assessment.
Sauternes,Dessert,bbq ribs,Ethiopian,4,Heuristic pairing assessment.
Viognier,White,roast chicken with herbs,Argentinian,5,Lighter wines fit poultry.
Syrah,Red,roast lamb,Moroccan,4,Tannic red complements red meat fat.
Chardonnay,White,bacon burger,Japanese,2,Heuristic pairing assessment.
Ice Wine,Dessert,grilled burger,American BBQ,2,Heuristic pairing assessment.
Pinot Noir,Red,roast chicken with herbs,French,4,Lighter wines fit poultry.
Gewürztraminer,White,Thai curry,Argentinian,3,Heuristic pairing assessment.
Madeira,Fortified,lemon tart,Mexican,4,Acidic wine balances acidic food.
Sangiovese,Red,gazpacho,Indian,4,Acidic wine balances acidic food.
Cabernet Sauvignon,Red,grilled ribeye,Chinese (Sichuan),3,Heuristic pairing assessment.
Nebbiolo,Red,bacon burger,German,2,Heuristic pairing assessment.
Riesling,White,Thai curry,Korean,3,Heuristic pairing assessment.
Pinot Noir,Red,vegetable curry,German,3,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Chinese (Sichuan),5,Off-dry sweetness calms spice.
Provence Rosé,Rosé,citrus salad,Greek,4,Acidic wine balances acidic food.
Ice Wine,Dessert,grilled burger,German,4,Heuristic pairing assessment.
Nebbiolo,Red,grilled ribeye,Italian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,beef stew,Mexican,3,Heuristic pairing assessment.
Sauternes,Dessert,bacon burger,Argentinian,4,Heuristic pairing assessment.
Riesling,White,Thai curry,American BBQ,4,Heuristic pairing assessment.
Syrah,Red,grilled ribeye,Greek,2,Heuristic pairing assessment.
Torrontés,White,Sichuan noodles,Thai,3,Heuristic pairing assessment.
Malbec,Red,fondue,Moroccan,3,Heuristic pairing assessment.
Sauvignon Blanc,White,oysters,Japanese,3,Crisp acidity suits seafood.
Port,Fortified,cheese platter,American BBQ,3,Heuristic pairing assessment.
Grüner Veltliner,White,shrimp scampi,Moroccan,5,Idealized perfect pairing example for contrast.
Viognier,White,pork tenderloin,Argentinian,2,Heuristic pairing assessment.
Albariño,White,alfredo pasta,American BBQ,2,Too lean for creamy dish.
Ice Wine,Dessert,stir-fried tofu,Japanese,3,Heuristic pairing assessment.
Albariño,White,fish tacos,German,5,Crisp acidity suits seafood.
Sauternes,Dessert,bacon burger,Moroccan,3,Heuristic pairing assessment.
Albariño,White,alfredo pasta,Thai,2,Too lean for creamy dish.
Albariño,White,shrimp scampi,German,5,Crisp acidity suits seafood.
Syrah,Red,bbq brisket,Vietnamese,3,Tannic red complements red meat fat.
Gewürztraminer,White,Sichuan noodles,Indian,1,Deliberately bad pairing example for contrast.
Nebbiolo,Red,cream of mushroom soup,Indian,1,Too lean for creamy dish.
Sauternes,Dessert,roast chicken with herbs,Italian,3,Heavy wine can dominate poultry.
Sauvignon Blanc,White,grilled salmon,French,4,Crisp acidity suits seafood.
Albariño,White,grilled salmon,Vietnamese,5,Crisp acidity suits seafood.
Chardonnay,White,pork tenderloin,Argentinian,2,Heuristic pairing assessment.
Gamay,Red,oysters,Greek,2,Tannic reds clash with delicate seafood.
Cava,Sparkling,olives and cheese,Mexican,4,Heuristic pairing assessment.
Albariño,White,grilled salmon,French,4,Crisp acidity suits seafood.
Riesling,White,Indian vindaloo,American BBQ,1,Deliberately bad pairing example for contrast.
Merlot,Red,pork tenderloin,Indian,1,Deliberately bad pairing example for contrast.
Port,Fortified,cheese platter,German,2,Heuristic pairing assessment.
Champagne,Sparkling,fish tacos,Indian,4,Crisp acidity suits seafood.
Port,Fortified,cheesecake,Mexican,2,Heuristic pairing assessment.
Tempranillo,Red,fondue,French,2,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Argentinian,4,Off-dry sweetness calms spice.
Pinot Noir,Red,gazpacho,American BBQ,3,Acidic wine balances acidic food.
Grüner Veltliner,White,stir-fried tofu,German,2,Heuristic pairing assessment.
Grenache,Red,pork tenderloin,Moroccan,4,Light/medium red suits richer poultry/pork.
Pinot Noir,Red,mushroom risotto,Italian,3,Heuristic pairing assessment.
Grenache,Red,carbonara,American BBQ,1,Too lean for creamy dish.
Nebbiolo,Red,Sichuan noodles,Argentinian,3,Heuristic pairing assessment.
Pinot Noir,Red,caprese salad,Italian,4,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,American BBQ,3,Heuristic pairing assessment.
Malbec,Red,smoked sausage,Mexican,4,Heuristic pairing assessment.
Chardonnay,White,mac and cheese,Vietnamese,2,Heuristic pairing assessment.
Grüner Veltliner,White,caprese salad,Chinese (Sichuan),3,Heuristic pairing assessment.
Sangiovese,Red,mushroom risotto,German,3,Heuristic pairing assessment.
Viognier,White,bacon burger,Spanish,3,Heuristic pairing assessment.
Grüner Veltliner,White,fish tacos,Italian,3,Crisp acidity suits seafood.
Syrah,Red,smoked sausage,American BBQ,3,Heuristic pairing assessment.
Nebbiolo,Red,Thai curry,Thai,3,Heuristic pairing assessment.
Champagne,Sparkling,grilled salmon,Vietnamese,5,Crisp acidity suits seafood.
Madeira,Fortified,mac and cheese,Korean,3,Heuristic pairing assessment.
Chardonnay,White,chicken curry,Middle Eastern,4,Lighter wines fit poultry.
Merlot,Red,bacon burger,Chinese (Sichuan),1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,smoked sausage,Argentinian,3,Heuristic pairing assessment.
Pinot Noir,Red,citrus salad,American BBQ,4,Acidic wine balances acidic food.
Gamay,Red,shrimp scampi,German,2,Tannic reds clash with delicate seafood.
Malbec,Red,bbq brisket,Korean,4,Tannic red complements red meat fat.
Cabernet Sauvignon,Red,bbq brisket,American BBQ,4,Tannic red complements red meat fat.
Albariño,White,vegetable curry,Greek,3,Heuristic pairing assessment.
Malbec,Red,bbq ribs,Spanish,3,Heuristic pairing assessment.
Madeira,Fortified,mac and cheese,Japanese,4,Heuristic pairing assessment.
Sauternes,Dessert,grilled burger,Moroccan,3,Heuristic pairing assessment.
Sangiovese,Red,mushroom risotto,Vietnamese,3,Heuristic pairing assessment.
Grenache,Red,carbonara,Ethiopian,2,Too lean for creamy dish.
Ice Wine,Dessert,lemon tart,Japanese,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Madeira,Fortified,mac and cheese,Argentinian,3,Heuristic pairing assessment.
Viognier,White,cheese platter,Japanese,3,Heuristic pairing assessment.
Champagne,Sparkling,cheese platter,German,4,Heuristic pairing assessment.
Nebbiolo,Red,Sichuan noodles,American BBQ,3,Heuristic pairing assessment.
Riesling,White,Thai curry,American BBQ,3,Heuristic pairing assessment.
Chardonnay,White,carbonara,Indian,4,Richer body matches creamy textures.
Chardonnay,White,chicken curry,Argentinian,4,Lighter wines fit poultry.
Sangiovese,Red,duck à l’orange,Italian,4,Light/medium red suits richer poultry/pork.
Nebbiolo,Red,roast lamb,Moroccan,4,Tannic red complements red meat fat.
Cabernet Sauvignon,Red,bbq brisket,Indian,4,Tannic red complements red meat fat.
Syrah,Red,cheese platter,Greek,3,Heuristic pairing assessment.
Albariño,White,fish tacos,Italian,4,Crisp acidity suits seafood.
Sauvignon Blanc,White,vegetable curry,Middle Eastern,1,Deliberately bad pairing example for contrast.
Pinot Noir,Red,gazpacho,Spanish,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,oysters,Korean,1,Tannic reds clash with delicate seafood.
Grüner Veltliner,White,stir-fried tofu,Japanese,2,Heuristic pairing assessment.
Grüner Veltliner,White,oysters,Japanese,3,Crisp acidity suits seafood.
Port,Fortified,cheese platter,Greek,2,Heuristic pairing assessment.
Ice Wine,Dessert,vegetable curry,Japanese,3,Heuristic pairing assessment.
Malbec,Red,grilled burger,Indian,2,Heuristic pairing assessment.
Ice Wine,Dessert,vegetable curry,Greek,2,Heuristic pairing assessment.
Merlot,Red,bacon burger,Spanish,2,Heuristic pairing assessment.
Torrontés,White,Indian vindaloo,Mexican,3,Heuristic pairing assessment.
Cava,Sparkling,charcuterie board,Ethiopian,3,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,Argentinian,2,Heuristic pairing assessment.
Merlot,Red,carbonara,Spanish,2,Too lean for creamy dish.
Syrah,Red,bbq ribs,Spanish,3,Heuristic pairing assessment.
Cava,Sparkling,shrimp scampi,Italian,5,Crisp acidity suits seafood.
Nebbiolo,Red,grilled ribeye,Thai,3,Heuristic pairing assessment.
Port,Fortified,mac and cheese,Middle Eastern,2,Heuristic pairing assessment.
Albariño,White,shrimp scampi,Vietnamese,4,Crisp acidity suits seafood.
Sangiovese,Red,chicken curry,Italian,3,Heavy wine can dominate poultry.
Madeira,Fortified,fondue,Vietnamese,3,Heuristic pairing assessment.
Torrontés,White,Thai curry,Argentinian,3,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,Ethiopian,3,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,German,3,Heuristic pairing assessment.
Grenache,Red,caprese salad,French,3,Heuristic pairing assessment.
Ice Wine,Dessert,bbq ribs,American BBQ,4,Heuristic pairing assessment.
